X.1..oecf4_20220506_KO_1G4_DIA_r1.raw.PG.Quantity	X.2..oecf4_20220506_KO_1G4_DIA_r3.raw.PG.Quantity	X.3..oecf4_20220506_KO_1G4_DIA_r4.raw.PG.Quantity	X.4..oecf4_20220506_KO_1G4_DIA_r4_20220508144015.raw.PG.Quantity	X.5..oecf4_20220506_KO_3G4_DIA_r1.raw.PG.Quantity	X.6..oecf4_20220506_KO_3G4_DIA_r3.raw.PG.Quantity	X.7..oecf4_20220506_KO_3G4_DIA_r4.raw.PG.Quantity	X.8..oecf4_20220506_KO_3G4_DIA_r5.raw.PG.Quantity	X.9..oecf4_20220506_LTED_DIA_r1.raw.PG.Quantity	X.10..oecf4_20220506_LTED_DIA_r3.raw.PG.Quantity	X.11..oecf4_20220506_LTED_DIA_r3_20220508005236.raw.PG.Quantity	X.12..oecf4_20220506_LTED_DIA_r4.raw.PG.Quantity	X.13..oecf4_20220506_WT_DIA_r1.raw.PG.Quantity	X.14..oecf4_20220506_WT_DIA_r2.raw.PG.Quantity	X.15..oecf4_20220506_WT_DIA_r3.raw.PG.Quantity	C: Student's T-test Significant KO_1G4_LTED	C: Student's T-test significant	N: -Log Student's T-test p-value KO_1G4_LTED	N: Student's T-test q-value KO_1G4_LTED	N: Student's T-test Difference KO_1G4_LTED	N: Student's T-test Test statistic KO_1G4_LTED	T: PG.ProteinGroups	T: PG.Genes	T: PG.ProteinDescriptions
NaN	11.8286	12.009	11.8411	11.1995	11.5647	11.6996	11.0515	11.6537	11.5689	11.8319	11.9631	11.9263	12.1616	11.958			0.546222	0.223345	0.138491	1.19885	A0A024QZ33;Q9H0G5	NSRP1	Coiled-coil domain containing 55
18.5232	18.3961	18.441	18.4497	18.7113	18.7521	18.7838	18.619	18.7398	18.8725	19.0905	18.9945	18.0071	18.3779	17.7124	+	KO_1G4_LTED	2.96512	0.00116697	-0.471847	-5.86798	A0A024QZX5;A0A087X1N8;P35237	SERPINB6	Serpin B6
15.3358	14.1201	14.865	12.869	14.6256	15.0321	14.7002	14.6422	10.2395	NaN	11.8147	NaN	NaN	NaN	NaN			NaN	1	0	NaN	A0A024R0K5;A0A087WYX0;P06731;P13688;P31997	CEACAM5;CEACAM5;CEACAM5;CEACAM1;CEACAM8	Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 5;Carcinoembryonic antigen-related cell adhesion molecule 1;Carcinoembryonic antigen-related cell adhesion molecule 8
15.2603	15.4481	15.6963	16.0441	15.2332	15.4197	15.8192	14.5651	13.1658	15.1309	15.123	15.2778	14.9456	15.2313	14.3007			0.89183	0.090034	0.937827	1.76344	A0A024R161;P50151	DNAJC25-GNG10;GNG10	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10
NaN	17.3887	17.3489	17.3342	17.2861	17.2431	17.4118	17.2835	17.3047	17.8334	17.658	17.6163	17.5536	18.0193	18.131			0.92411	0.0832974	-0.245868	-1.87858	A0A024R4E5	HDLBP	High density lipoprotein binding protein (Vigilin)
14.0364	13.8835	13.9736	13.8989	13.6354	13.1568	13.2376	13.4256	13.6242	13.4167	13.4901	13.4541	14.4414	14.6502	14.6097	+	KO_1G4_LTED	3.65233	0.000352564	0.451835	7.87082	A0A024R4K9;A0A087WZA9;A0A087X266;Q9BXJ8	TMEM120A	Transmembrane protein 120A;Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A
14.2908	14.3862	14.2603	14.1748	14.3418	14.1551	13.9605	14.2571	14.1466	13.9772	14.2798	14.3506	14.9613	14.6281	14.5818			0.42786	0.30823	0.0894604	0.961632	A0A024R644;A0A1B0GWI2;O75503	CLN5	Ceroid-lipofuscinosis neuronal protein 5;Ceroid-lipofuscinosis neuronal protein 5 (Fragment);Ceroid-lipofuscinosis neuronal protein 5
16.6094	16.7007	16.493	16.8353	16.4494	16.4117	16.198	16.4328	16.6463	16.4863	16.3513	16.3316	16.5489	15.9863	16.5993			1.03712	0.0631998	0.20575	2.00485	A0A024R7E8;K7EMV4;K7EN05;K7EPC8;K7EQ44;P60002	ELOF1	Transcription elongation factor 1 homolog
12.1478	12.2207	12.246	10.276	12.3429	12.5381	11.048	12.0534	11.6161	11.3765	11.8048	11.4666	11.776	12.7516	12.2282			0.118685	0.719763	0.156613	0.318532	A0A024R7P0;F5GY33;H0YGQ6;O14593	RFXANK	DNA-binding protein RFXANK;DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK (Fragment);DNA-binding protein RFXANK
19.1924	19.3622	19.3685	19.4527	19.088	19.4069	19.3881	19.1038	19.1997	19.3581	19.3625	19.3817	19.1126	19.2543	19.1487			0.0979735	0.763721	0.0184565	0.267498	A0A024RA52;P25787	PSMA2	Proteasome subunit alpha type;Proteasome subunit alpha type-2
